Orian,COP,LPD,UvR,SHGC,Effi,PV_1,PV_2,PV_3,PV_4,E,Epv
0,5.4,12.9,1.969,0.27,0.23,0.2,0.5,0.5,0.6,127.91,17912
5,3.6,12.9,1.227,0.58,0.21,0.2,0.8,0,0.6,158.84,12734
5,6.1,12.9,1.98,0.55,0.22,0.4,1,0.7,0.9,125.8,27794
5,3.3,12.9,1.2,0.23,0.1,0.3,0.2,0.7,1,163.1,10254
15,2.9,12.9,1.393,0.61,0.23,0.8,1,1,0.8,193.74,36191.204
15,5.8,12.9,2.677,0.66,0.11,0.6,0.4,0,0.7,132.17,8260
20,3.3,12.9,1.393,0.87,0.2,0.8,0.4,0.8,0.1,180.08,19341.9
25,3.4,12.9,2.959,0.21,0.15,0.3,0.8,0.7,0.1,180.64,11754
25,5.7,12.9,1.907,0.58,0.2,0.4,1,0.8,0.9,130.51,26512
30,7,12.9,0.799,0.58,0.14,0.7,0.2,0.5,0.4,110.51,11822
35,3.6,12.9,2.235,0.6,0.11,0.2,0.5,0.3,0.9,171.23,9362
35,3.2,12.9,2.538,0.66,0.11,1,0.9,0.2,0.9,191.48,14895
40,4.6,12.9,0.727,0.49,0.17,0.5,0.9,0.8,0.2,134.93,17234
40,3.4,12.9,0.916,0.73,0.25,0.1,1,0.6,0.5,170.11,22932
45,2.8,12.9,1.36,0.63,0.17,0.1,1,0.9,0.9,198.62,21270.4
55,3,12.9,2.274,0.22,0.11,0.1,0,0.8,0.2,182.13,4852.166
55,2.8,12.9,2.021,0.18,0.22,0.8,0.1,0.8,0.1,192.56,16848.185
60,4.1,12.9,2.716,0.56,0.22,0.9,0.4,1,0.4,169.68,25332.474
65,5.4,12.9,1.346,0.8,0.23,0.2,0.8,0.7,1,140.5,27920.587
70,3.6,8.8,2.925,0.81,0.13,0.7,0.2,0.1,0.2,176.16,7156.958
75,6.4,9.2,2.308,0.75,0.25,0.6,0.3,0.3,0.4,120.32,9353.508
80,5.1,8.1,1.901,0.87,0.16,0.7,0.3,0.7,0.2,134.49,12413.344
80,4.8,8.9,2.293,0.71,0.25,0.7,0.6,1,0.1,144.67,23916.233
90,3.4,10.4,1.122,0.19,0.14,0.9,0,0.7,0,148.09,8544.75
95,6.1,12.5,2.146,0.24,0.12,1,0.3,0.2,1,132.05,14161.937
95,6.7,9.6,1.63,0.2,0.24,0.1,0,1,0.6,108.39,15491.275
100,4.4,11.9,1.486,0.21,0.15,0.5,0.6,1,0.8,149.31,18509.383
105,6.6,11.8,1.612,0.7,0.25,0.2,0.5,0,1,124.99,21097.413
105,6.6,7.1,3,0.45,0.14,0.9,0.4,0.2,0.7,117.01,14368.897
105,4.3,9.8,0.967,0.71,0.15,0.2,0.1,0.8,0.7,144.78,10928.235
115,3.4,11.9,1.117,0.79,0.12,0.8,0,0.7,0.2,179.4,8359.493
120,2.6,7.4,2.021,0.62,0.12,0.9,0.9,0.8,0.3,209.17,15589.644
120,6.8,12.8,1.23,0.82,0.14,1,1,0.8,0.3,126.1,19583.744
120,5.4,10.4,1.721,0.56,0.14,1,0.1,0.1,0,131.28,7966.903
130,6.6,13,1.589,0.24,0.15,0.7,0,0,0.2,115.47,3513.777
130,6,9.5,0.772,0.59,0.21,0.2,0.6,0.2,0.5,115.65,14351.152
135,6.1,10.7,2.627,0.36,0.21,0.1,0.3,0.9,0.9,128.63,18938.651
135,2.8,8.7,0.739,0.77,0.17,0.8,1,0.2,0.5,187.35,20079.923
140,5.5,9.9,1.189,0.89,0.11,0.2,1,0.2,0.6,132.31,9891.829
145,6.8,7,1.152,0.5,0.15,0,0.4,0.8,0.4,102.21,10034.419
150,6.3,11.9,0.833,0.86,0.16,0.5,0.8,0.9,0.2,126.42,17605.679
150,2.6,12.9,1.991,0.41,0.17,1,0.4,0.6,0.4,222.07,18983.033
150,4.4,7,1.07,0.32,0.18,0.1,0.4,0.6,0.2,123.36,11479.113
155,2.6,7,1.335,0.24,0.21,0.4,0,0.3,1,178.97,16402.824
155,3.9,12.2,1.437,0.29,0.16,0.9,0.9,0.6,0,160.79,18675.113
155,3.7,10.1,2.046,0.27,0.18,0.2,0.7,0.7,0.7,162.23,17501.958
165,4,9.6,1.724,0.31,0.1,0.5,1,0.8,0.4,153.88,21988.381
165,2.9,11.4,1.851,0.71,0.23,0.5,0.9,0.3,0.2,204.68,20214.891
175,4.2,12.4,2.974,0.59,0.23,0.3,0.9,0,0.7,170.98,17699.19
180,2.8,7,0.917,0.69,0.21,0.5,0.9,0.4,0.2,180.44,19482.865
180,6,12.4,2.377,0.83,0.19,0.2,0.1,0.2,0.2,"139.85	",5860.133
185,6.1,7.4,2.702,0.22,0.2,0.1,0.4,0.3,0.2,112.64,"7099.006	"
185,6.2,13,1.399,0.42,0.21,0.4,0.7,0.6,0.5,"127.17	","20458.360	"
190,4.1,12.2,1.533,0.76,0.13,0.9,0.4,0.9,0,"163.62	",14289.823
190,4.4,9.5,1.54,0.66,0.25,0.4,0.7,0.1,0.8,"146.00	","20200.194	"
195,7,9,1.828,0.59,0.17,0,1,0.1,0.8,"112.59	","12769.850	"
200,6.6,7.4,1.631,0.8,0.25,0,0.3,0.1,0.9,"113.56	","11694.901	"
205,4.1,11.9,0.898,0.24,0.19,0.9,0.8,0.8,0.2,"151.10	","24233.568	"
205,4.2,11.8,0.719,0.58,0.22,0.8,0.9,0.8,0,"150.94	","26675.312	"
205,5.4,11,2.668,0.75,0.22,0.5,0.2,0.4,0.6,"144.23	","15962.438	"
210,5.7,7.3,0.622,0.41,0.2,0,0.4,0.4,0.8,"106.69	","10647.812	"
210,2.8,12.7,1.963,0.46,0.24,0,0.9,0.7,0.9,"209.66	","26276.009	"
225,3.4,12.3,2.784,0.75,0.12,0.6,0.9,0.3,0.5,"198.22	","12478.491	"
225,2.6,8.6,1.399,0.46,0.25,0.9,0,0,0.4,"190.53	","12757.880	"
225,4.1,10.4,1.834,0.46,0.16,0.2,0.2,0.7,0.8,"159.06	","22099.237	"
230,6.4,8.7,0.802,0.24,0.1,1,0.1,0.5,0.8,"106.51	",9942.957
230,3,10.9,1.237,0.3,0.12,0,0.7,0.4,1,"177.81	","11515.692	"
235,5.9,8.1,0.967,0.82,0.22,0.3,0.2,0.4,1,"119.42	","18078.466	"
235,4.9,10.5,0.651,0.59,0.11,0.5,1,0,0.5,132.72,10068.701
235,4.5,11.5,1.524,0.85,0.2,0.1,0.9,0.2,0.4,155.24,12369.028
235,6.1,9.5,2.574,0.8,0.11,0.2,0.4,0.6,0,130.74,5999.23
245,7,11.5,1.73,0.67,0.12,0.8,0.3,0.9,0.7,121.88,12661.617
250,5.5,8.1,1.247,0.51,0.23,0.2,1,0.6,0.4,121.5,24330.416
250,6.2,9.9,1.237,0.38,0.11,0.2,0.4,0.6,0.8,115.73,10121.083
250,4.3,11.3,2.678,0.33,0.16,0,1,0.4,0.7,159.94,16678.221
260,4.3,11.3,2.678,0.33,0.16,0,1,0.4,0.7,160.2,16866.791
270,6.2,11,0.911,0.73,0.25,0.3,0.2,1,0.3,122.28,19868.165
270,3.9,10.1,2.452,0.89,0.17,0.5,0.9,0.1,1,173,19782.061
280,2.8,8.7,1.648,0.81,0.11,0.3,0.7,0.3,0,199.85,6370.632
280,2.9,12.2,2.517,0.53,0.23,0.5,0,0.6,1,210.09,21463.968
290,6.2,11.1,1.573,0.72,0.18,0.2,0.5,0.9,0.8,127.4,20423.279
290,6.7,12.1,1.897,0.36,0.25,0,0.3,0.3,0.2,118.48,9687.455
290,4.7,11.4,2.83,0.42,0.14,0.1,0.5,0.1,0.9,152.38,10951.945
300,3.4,8.5,2.456,0.79,0.16,0,0.5,0.9,0.3,183.09,13040.678
300,5,12.6,2.796,0.25,0.1,0.1,0.3,0.9,0.3,147.24,7582.807
310,6.4,7.4,1.414,0.64,0.12,0.9,0.6,0.9,0.5,113.31,15400.942
310,5.3,11.9,2.776,0.18,0.2,0,0.2,0,0.4,133.18,4547.768
315,3.7,11.2,2.374,0.59,0.18,0.4,0.9,0.9,0.2,177.37,19278.952
340,4.4,10,2.481,0.73,0.25,0.3,0.7,0.3,0.9,157.97,23223.507
340,5.9,9.3,2.713,0.86,0.14,0.6,0.1,0,0.3,134.6,6228.122
340,6.4,12.3,1.35,0.64,0.24,0.4,0.5,0.4,0,125.21,13325.819
340,4.3,9.8,1.047,0.27,0.24,0.6,0.9,0.8,1,144.64,34651.694
345,6.1,10.3,1.135,0.43,0.17,0.9,0.9,0.3,0.6,119.93,19236.924
345,3.1,11.3,2.668,0.55,0.23,0.7,0,1,0.7,202.95,27265.158
345,3.4,12.2,1.039,0.2,0.14,0.7,0.1,0.7,1,167.3,16670.155
345,3.8,8.1,2.624,0.75,0.25,0.3,1,0.7,0.5,169.24,26174.854
350,3.8,8.1,2.624,0.75,0.25,0.3,1,0.7,0.5,169.18,26035.468
350,3.9,11.4,1.572,0.86,0.17,0.4,0.7,0.7,1,169.01,20858.199
355,4.8,11.8,2.618,0.35,0.18,0.5,0.8,1,0,151.22,18184.555
355,4.3,9.4,2.135,0.8,0.25,0.5,0.7,0,0.4,156.66,18053.382
360,6.7,11.4,2.284,0.27,0.25,1,0.4,0.7,0.5,124.01,30269.569
0,5.4,10.5,1.969,0.27,0.23,0.2,0.5,0.5,0.6,130.51,17912.524
5,3.6,10.8,1.227,0.58,0.21,0.2,0.8,0,0.6,162.12,12734.855
5,6.1,7.4,1.98,0.55,0.22,0.4,1,0.7,0.9,118.81,27794.294
5,3.3,10.1,1.2,0.23,0.1,0.3,0.2,0.7,1,166.26,10254.405
15,2.9,9.9,1.393,0.17,0.23,0.8,1,1,0.8,191.96,36191.204
15,5.8,7.2,2.677,0.18,0.11,0.6,0.4,0,0.7,117.04,8260.98
15,2.9,9.9,1.393,0.61,0.23,0.8,1,1,0.8,195.01,36191.204
15,5.8,7.2,2.677,0.66,0.11,0.6,0.4,0,0.7,125.58,8260.98
15,3.3,13,1.393,0.87,0.2,0.8,0.4,0.8,0.1,191.06,15567.707
15,3.4,8.2,2.959,0.21,0.15,0.3,0.8,0.7,0.1,171.52,11782.56
25,3.4,8.2,2.959,0.21,0.15,0.3,0.8,0.7,0.1,171.41,11754.735
25,5.7,12.7,1.907,0.58,0.2,0.4,1,0.8,0.9,139.5,21209.62
30,7,12.7,0.799,0.58,0.14,0.7,0.2,0.5,0.4,117.83,11822.497
35,3.6,11.8,2.235,0.6,0.11,0.2,0.5,0.3,0.9,179.81,9362.458
35,3.2,11.7,2.538,0.66,0.11,1,0.9,0.2,0.9,200.9,14895.898
40,4.6,7,0.727,0.49,0.17,0.5,0.9,0.8,0.2,125.13,17234.76
40,3.4,11,0.916,0.73,0.25,0.1,1,0.6,0.5,171.93,22932.727
45,2.8,12.2,1.36,0.63,0.17,0.1,1,0.9,0.9,206.1,21270.393
55,3,12.9,2.274,0.22,0.11,0.1,0,0.8,0.2,187.49,4852.166
55,2.8,13,2.021,0.18,0.22,0.8,0.1,0.8,0.1,197.51,16848.185
60,4.1,8.9,2.716,0.56,0.22,0.9,0.4,1,0.4,161.64,25332.474
65,5.4,9.7,1.346,0.8,0.23,0.2,0.8,0.7,1,132.58,27862.871
345,5.8,10.2,1.689,0.46,0.17,0.9,0.9,0.9,0.9,130.17,27022.159
345,5.8,10.2,1.689,0.46,0.17,0.5,0.3,0.3,0.3,123.72,10617.615
345,5.8,10.2,1.689,0.46,0.12,0.9,0.9,0.9,0.9,130.17,19074.465
345,5.8,10.2,1.689,0.8,0.12,0.9,0.9,0.9,0.9,131.23,19074.465
345,5.8,10.2,1.689,0.8,0.12,0.5,0.6,0.4,0.5,130.97,10316.174
345,5.8,10.2,1.689,0.31,0.12,0.5,0.6,0.4,0.5,122.69,10316.174
